section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,228,1636382498646780745,1636382498878727745,231,true,1448,2012
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,229,1636382498946787745,1636382499066787745,120,true,2771,2505
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,126,1636386807391811256,1636386807711795256,319,true,2898,1027
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,127,1636386807763878256,1636386808075831256,311,true,1799,1495
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,128,1636386808142811256,1636386808443951256,301,true,2535,1018
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,129,1636386809079797256,1636386809555735256,475,true,2665,917
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,130,1636386809607768256,1636386812403803256,2796,true,2831,1124
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,131,1636386812431799256,1636386812699782256,267,true,2633,1412
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,132,1636386812731760256,1636386813355778256,624,true,2336,1798
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,133,1636386813375747256,1636386814471817256,1096,true,2318,1945
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,134,1636386814515796256,1636386814943795256,427,true,1592,1403
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,135,1636386814971765256,1636386815225380256,253,true,1326,1478
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,136,1636386815263760256,1636386815899756256,635,true,1819,1624
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,137,1636386815943817256,1636386816583830256,640,true,1387,2241
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,138,1636386816615785256,1636386818175784256,1559,true,1323,2378
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,139,1636386818211803256,1636386818483735256,271,true,1269,2603
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,140,1636386818495788256,1636386818703764256,207,true,1575,2549
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,141,1636386818741660256,1636386818947808256,206,true,1898,2096
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,142,1636386818987785256,1636386819179758256,191,true,2494,2298
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,143,1636386819223768256,1636386820379766256,1155,true,3252,2269
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,144,1636386820419787256,1636386820643790256,224,true,3518,1533
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,145,1636386820675766256,1636386820751749256,75,true,3348,1256
76bd39bc-5bba-4334-9f06-93c645ce69be,c9431eee-9299-4234-81b7-1df1e3e6e97c,146,1636386820779841256,1636386820951734256,171,true,3742,1246
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,149,1636633956794816351,1636633956862924351,68,true,2654,1161
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,150,1636633957190814351,1636633957302832351,112,true,2414,969
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,151,1636633957526869351,1636633957679175351,152,true,1503,1031
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,152,1636633957726844351,1636633957870827351,143,true,2364,1263
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,153,1636633958010832351,1636633958314826351,303,true,2370,1206
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,154,1636633958346837351,1636633958438952351,92,true,2699,1067
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,155,1636633958494852351,1636633958766834351,271,true,2224,1752
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,156,1636633958798854351,1636633959090839351,291,true,2100,1349
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,157,1636633959370816351,1636633959510839351,140,true,2527,1152
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,158,1636633959534847351,1636633959618844351,83,true,2697,1179
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,159,1636633959794838351,1636633960198858351,404,true,1596,1365
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,160,1636633960235094351,1636633960434847351,199,true,1937,1145
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,161,1636633960470828351,1636633960570927351,100,true,2248,988
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,162,1636633960750931351,1636633960982880351,231,true,2252,882
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,163,1636633961010820351,1636633961306821351,296,true,2185,679
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,164,1636633961338951351,1636633961570905351,231,true,2139,932
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,165,1636633961678867351,1636633961826819351,147,true,2091,950
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,166,1636633961866853351,1636633962166883351,300,true,1694,817
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,167,1636633962206840351,1636633962646832351,439,true,2448,946
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,168,1636633962686842351,1636633962850837351,163,true,2070,930
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,169,1636633963018973351,1636633963470925351,451,true,2155,857
f8593f3e-f79b-449f-9f12-c5b42f48a8c8,737e9eee-89e5-4d1b-9b06-57d84e51eaca,170,1636633963498888351,1636633964662832351,1163,true,2492,961
